title,price,href,address,content,owner,specialist

"2-комнатная квартира, 80 м², 14/21 эт. помесячно","
                                                                        400 000 ₸
",/a/show/27923071,"
                            Медеуский р-н, Аль Фараби 21 — Каратаева
                        ","
                    жил. комплекс AFD Plaza, монолитный дом, 2014 г.п., состояние: евроремонт, потолки 3м., санузел совмещенный, телефон: отдельный, интернет ADSL, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, семейным, на длительный срок, телевизор, вся бытовая техника, Квартира нов…
                ",0,1

"3-комнатная квартира, 75 м², 8/9 эт. помесячно","
                                                                        130 000 ₸
",/a/show/51918497,"
                            Ауэзовский р-н, мкр Жетысу-2, Саина — проспект Улугбека
                        ","
                    панельный дом, 1993 г.п., Хорошее состояние, кухня 14, мебель, бытовая техника, интернет, на длительный срок, только семейной паре (с максимум 2 детьми!), + квартплата. Агентство недвижимости! Читайте внимательно объявление! Если написано ""Проверенная компания"" - это агентство недвижимости. Квартир…
                ",0,1

"1-комнатная квартира, 32 м², 1/5 эт. помесячно","
                                                                        80 000 ₸
",/a/show/52189775,"
                            Алмалинский р-н, Толеби 33 — Айманова
                        ","
                    панельный дом, 1978 г.п., состояние: хорошее, жил. площадь 18 кв.м., кухня 6 кв.м., потолки 2.6м., санузел совмещенный, телефон: отдельный, интернет проводной, полностью меблирована, чистая, на длительный срок, телевизор, вся бытовая техника, уютная, холодильник, стиральная машина-автомат, кабел…
                ",0,1

"2-комнатная квартира, 61 м², 11/17 эт. помесячно","
                                                                        250 000 ₸
",/a/show/49988248,"
                            Бостандыкский р-н, Жарокова — Сатпаева
                        ","
                    жил. комплекс Арай, монолитный дом, 2018 г.п., состояние: евроремонт, потолки 3.04м., санузел совмещенный, телефон: отдельный, интернет оптика, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, + квартплата, на длительный срок, телевизор, Без субаренды! Без посреднико…
                ",1,0

"1-комнатная квартира, 45 м², 5/9 эт. помесячно","
                                                                        110 000 ₸
",/a/show/46870101,"
                            Алмалинский р-н, проспект Достык 46 — Шевченко
                        ","
                    панельный дом, 1985 г.п., состояние: хорошее, жил. площадь 31 кв.м., кухня 10 кв.м., санузел совмещенный, телефон: отдельный, интернет через TV кабель, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, на длительный срок, телевизор, вс…
                ",0,1

"1-комнатная квартира, 41 м², 4/5 эт. помесячно","
                                                                        165 000 ₸
",/a/show/30853036,"
                            Медеуский р-н, Желтоксан 137 — Шевченко
                        ","
                    кирпичный дом, 1990 г.п., состояние: евроремонт, потолки 2.8м., интернет ADSL, полностью меблирована, кабельное ТВ, уютная, холодильник, + квартплата, стиральная машина-автомат, Квартира после ремонта, все новое
                ",0,1

"3-комнатная квартира, 120 м², 10/18 эт. помесячно","
                                                                        380 000 ₸
",/a/show/30476198,"
                            Бостандыкский р-н, Бухар жырау — Хамита Ергали
                        ","
                    жил. комплекс Бухар Жырау Тауэрс, монолитный дом, 2010 г.п., состояние: евроремонт, потолки 2.9м., санузел совмещенный, полностью меблирована, кабельное ТВ, уютная, чистая, холодильник, + квартплата, стиральная машина-автомат, Фотографии этой квартиры, светлая, теплая, уютная. Желательно н…
                ",0,1

